policy,n_jobs_completed,avg_jct_min,p95_jct_min,makespan_min,mean_gpu_utilization,fragmentation_rate,backfill_admissions,cluster,n_hosts,total_capacity
Wind_proxy,1815,187.98365472910922,988.5349999999985,14650.966666666667,0.13340935344088825,0.02452733776188043,0,Uranus,223,1784
PredSched_LLM,1815,187.98365472910922,988.5349999999985,14650.966666666667,0.13340935344088825,0.019417475728155338,0,Uranus,223,1784
FIFO,1815,187.98365472910922,988.5349999999985,14650.966666666667,0.16527936565176707,0.01890648952478283,0,Uranus,180,1440
QSSF_proxy,1815,187.98365472910928,988.5349999999985,14650.966666666667,0.16527936565176707,0.01890648952478283,0,Uranus,180,1440
RF_SRPT_proxy,1815,187.98365472910922,988.5349999999985,14650.966666666667,0.16527936565176707,0.01788451711803781,0,Uranus,180,1440
Backfill_FIFO,1815,187.98365472910922,988.5349999999985,14650.966666666667,0.16527936565176707,0.01890648952478283,0,Uranus,180,1440
Wind_proxy,1815,187.98365472910922,988.5349999999985,14650.966666666667,0.16527936565176707,0.02401635155850792,0,Uranus,180,1440
PredSched_LLM,1815,187.98365472910922,988.5349999999985,14650.966666666667,0.16527936565176707,0.019417475728155338,0,Uranus,180,1440
FIFO,1815,187.98365472910922,988.5349999999985,14650.966666666667,0.21715537092932946,0.01890648952478283,0,Uranus,137,1096
QSSF_proxy,1815,187.98365472910928,988.5349999999985,14650.966666666667,0.21715537092932946,0.01890648952478283,0,Uranus,137,1096
RF_SRPT_proxy,1815,187.98365472910922,988.5349999999985,14650.966666666667,0.21715537092932946,0.01788451711803781,0,Uranus,137,1096
Backfill_FIFO,1815,187.98365472910922,988.5349999999985,14650.966666666667,0.21715537092932946,0.01890648952478283,0,Uranus,137,1096
Wind_proxy,1815,187.98365472910922,988.5349999999985,14650.966666666667,0.21715537092932946,0.022994379151762903,0,Uranus,137,1096
PredSched_LLM,1815,187.98365472910922,988.5349999999985,14650.966666666667,0.21715537092932946,0.020439448134900357,0,Uranus,137,1096
FIFO,1815,195.82108356290172,1049.1199999999997,14650.966666666667,0.31649240231189457,0.01890648952478283,0,Uranus,94,752
QSSF_proxy,1815,190.9791092745638,1061.7900000000002,14650.966666666667,0.31649240231189435,0.01890648952478283,11,Uranus,94,752
RF_SRPT_proxy,1815,191.03211202938473,1052.24,14650.966666666667,0.31649240231189435,0.01788451711803781,4,Uranus,94,752
Backfill_FIFO,1815,191.3099724517906,1049.1199999999997,14650.966666666667,0.31649240231189435,0.01890648952478283,43,Uranus,94,752
Wind_proxy,1815,191.32317722681356,1043.273333333333,14650.966666666667,0.31649240231189435,0.022994379151762903,39,Uranus,94,752
PredSched_LLM,1815,190.77136822773184,1050.0766666666664,14650.966666666667,0.31649240231189424,0.01992846193152785,6,Uranus,94,752
FIFO,1815,726.0386134067951,3340.6999999999985,15749.833333333332,0.5426393504734671,0.015329586101175269,0,Uranus,51,408
QSSF_proxy,1815,264.76088154269974,1576.4433333333325,16552.183333333334,0.5163354681345377,0.01992846193152785,687,Uranus,51,408
RF_SRPT_proxy,1815,259.2113131313131,1697.974999999998,15235.050000000001,0.5609748133458938,0.015329586101175269,547,Uranus,51,408
Backfill_FIFO,1815,316.85181818181815,2147.191666666666,15501.416666666668,0.5513353723626568,0.011752682677567705,995,Uranus,51,408
Wind_proxy,1815,326.7320936639118,2232.6699999999996,15501.416666666668,0.5513353723626565,0.01788451711803781,1002,Uranus,51,408
PredSched_LLM,1815,258.7753535353535,1745.4900000000002,15183.65,0.5628738366641328,0.015329586101175269,541,Uranus,51,408
FIFO,1815,19844.86386593205,51538.535,61045.10000000001,0.8925172655817849,0.01788451711803781,0,Uranus,8,64
QSSF_proxy,1815,2780.8617539026627,22891.911666666663,61507.933333333334,0.8858012743478075,0.010219724067450179,1452,Uranus,8,64
RF_SRPT_proxy,1815,3684.7840404040394,24439.61499999999,59881.466666666674,0.9098609095941756,0.007153806847215125,1558,Uranus,8,64
Backfill_FIFO,1815,3820.517630853995,26176.471666666665,58814.39999999998,0.9263684697823439,0.0015329586101175269,1743,Uranus,8,64
Wind_proxy,1815,3820.537768595041,26175.971666666665,58814.39999999998,0.9263684697823439,0.0015329586101175269,1743,Uranus,8,64
PredSched_LLM,1815,3684.7840404040394,24439.61499999999,59881.466666666674,0.9098609095941756,0.007153806847215125,1558,Uranus,8,64
FIFO,810,175.40744855967077,864.3666666666668,14609.2,0.0506434174389827,0.026252983293556086,0,Venus,121,968
QSSF_proxy,810,175.40744855967077,864.3666666666668,14609.2,0.0506434174389827,0.026252983293556086,0,Venus,121,968
RF_SRPT_proxy,810,175.40744855967077,864.3666666666668,14609.2,0.0506434174389827,0.026252983293556086,0,Venus,121,968
Backfill_FIFO,810,175.40744855967077,864.3666666666668,14609.2,0.0506434174389827,0.026252983293556086,0,Venus,121,968
Wind_proxy,810,175.40744855967077,864.3666666666668,14609.2,0.0506434174389827,0.03818615751789976,0,Venus,121,968
PredSched_LLM,810,175.40744855967077,864.3666666666668,14609.2,0.0506434174389827,0.027446300715990454,0,Venus,121,968
FIFO,810,175.40744855967077,864.3666666666668,14609.2,0.06067181693185063,0.026252983293556086,0,Venus,101,808
QSSF_proxy,810,175.40744855967077,864.3666666666668,14609.2,0.06067181693185063,0.026252983293556086,0,Venus,101,808
RF_SRPT_proxy,810,175.40744855967077,864.3666666666668,14609.2,0.06067181693185063,0.026252983293556086,0,Venus,101,808
Backfill_FIFO,810,175.40744855967077,864.3666666666668,14609.2,0.06067181693185063,0.026252983293556086,0,Venus,101,808
Wind_proxy,810,175.40744855967077,864.3666666666668,14609.2,0.06067181693185063,0.03579952267303103,0,Venus,101,808
PredSched_LLM,810,175.40744855967077,864.3666666666668,14609.2,0.06067181693185063,0.027446300715990454,0,Venus,101,808
FIFO,810,175.40744855967077,864.3666666666668,14609.2,0.07472992085508418,0.026252983293556086,0,Venus,82,656
QSSF_proxy,810,175.40744855967077,864.3666666666668,14609.2,0.07472992085508418,0.026252983293556086,0,Venus,82,656
RF_SRPT_proxy,810,175.40744855967077,864.3666666666668,14609.2,0.07472992085508418,0.026252983293556086,0,Venus,82,656
Backfill_FIFO,810,175.40744855967077,864.3666666666668,14609.2,0.07472992085508418,0.026252983293556086,0,Venus,82,656
Wind_proxy,810,175.40744855967077,864.3666666666668,14609.2,0.07472992085508418,0.041766109785202864,0,Venus,82,656
PredSched_LLM,810,175.40744855967077,864.3666666666668,14609.2,0.07472992085508418,0.027446300715990454,0,Venus,82,656
FIFO,810,175.4854938271605,864.3666666666668,14609.2,0.09883634693736987,0.026252983293556086,0,Venus,62,496
QSSF_proxy,810,175.4854938271605,864.3666666666668,14609.2,0.09883634693736987,0.026252983293556086,0,Venus,62,496
RF_SRPT_proxy,810,175.4854938271605,864.3666666666668,14609.2,0.09883634693736987,0.026252983293556086,0,Venus,62,496
Backfill_FIFO,810,175.4854938271605,864.3666666666668,14609.2,0.09883634693736987,0.026252983293556086,0,Venus,62,496
Wind_proxy,810,175.4854938271605,864.3666666666668,14609.2,0.09883634693736987,0.04295942720763723,0,Venus,62,496
PredSched_LLM,810,175.4854938271605,864.3666666666668,14609.2,0.09883634693736987,0.027446300715990454,0,Venus,62,496
FIFO,810,182.9359259259259,866.4124999999999,14609.2,0.1425082211655098,0.0477326968973747,0,Venus,43,344
QSSF_proxy,810,179.70958847736625,864.3666666666668,14609.2,0.1425082211655098,0.026252983293556086,58,Venus,43,344
RF_SRPT_proxy,810,179.70958847736625,864.3666666666668,14609.2,0.1425082211655098,0.026252983293556086,58,Venus,43,344
Backfill_FIFO,810,179.7731893004115,864.3666666666668,14609.2,0.14250822116550976,0.026252983293556086,58,Venus,43,344
Wind_proxy,810,179.91847736625516,864.3666666666668,14609.2,0.1425082211655098,0.034606205250596656,60,Venus,43,344
PredSched_LLM,810,179.70958847736625,864.3666666666668,14609.2,0.1425082211655098,0.027446300715990454,58,Venus,43,344
FIFO,810,737.4910699588477,1732.7483333333334,14609.2,0.26642841348334434,0.022673031026252982,0,Venus,23,184
QSSF_proxy,810,289.03203703703707,1472.070833333333,14609.2,0.2664284134833443,0.02028639618138425,407,Venus,23,184
RF_SRPT_proxy,810,264.82168724279836,1012.0308333333332,14609.2,0.2664284134833444,0.02028639618138425,366,Venus,23,184
Backfill_FIFO,810,281.83098765432095,1004.9374999999997,14609.2,0.2664284134833443,0.01909307875894988,491,Venus,23,184
Wind_proxy,810,280.5859053497942,986.043333333333,14609.2,0.2664284134833443,0.01909307875894988,490,Venus,23,184
PredSched_LLM,810,264.82168724279836,1012.0308333333332,14609.2,0.2664284134833444,0.02028639618138425,366,Venus,23,184
FIFO,810,13537.124259259257,17085.137499999997,34343.08333333334,0.6516817129601543,0.01909307875894988,0,Venus,4,32
QSSF_proxy,810,3014.507181069959,14012.03,24577.816666666666,0.9106081178216944,0.007159904534606206,694,Venus,4,32
RF_SRPT_proxy,810,3109.380740740741,13883.311666666668,24724.383333333335,0.9052100136639741,0.01909307875894988,692,Venus,4,32
Backfill_FIFO,810,3113.5331069958843,8500.52166666667,24250.216666666664,0.922909666442843,0.016706443914081145,770,Venus,4,32
Wind_proxy,810,3137.991934156378,8559.658333333335,24316.28333333333,0.9204021465040232,0.031026252983293555,770,Venus,4,32
PredSched_LLM,810,3109.380740740741,13883.311666666668,24724.383333333335,0.9052100136639741,0.01909307875894988,692,Venus,4,32
